incident_id,equipment_id,field,team,category,incident_date,incident_type,severity,status,resolution_hours,sla_breach,downtime_hours,reported_by,sla_status
47e4133f-73ae-454b-a6a5-1fd9322ac0f4,COMP-201,Forcados Field,Team Bravo,Compressor,2026-07-08 12:08:55,Pressure Drop,High,Resolved,9.85,Yes,3.36,Sarah Shah,BREACHED
7d20f11b-5d82-48a6-9ea9-c3893a14be51,VALVE-302,Escravos Field,Team Charlie,Pressure Valve,2026-07-08 12:08:46,Valve Malfunction,Medium,Open,12.71,No,3.06,Anthony Bell,COMPLIANT
7deceb5f-7674-4b5f-b877-4af63415a6b6,PUMP-102,Bonny Field,Team Alpha,Pumping Unit,2026-07-08 12:05:01,Pressure Drop,Critical,Open,2.14,No,0.61,Erin Hensley,COMPLIANT
750c861a-ba53-4f96-86f1-3688232db251,TANK-501,Qua Iboe Field,Team Alpha,Storage Tank,2026-07-08 12:06:29,Equipment Failure,Medium,Resolved,43.63,Yes,32.33,Tom Johnson,BREACHED
5ba4ecf0-f3a3-444c-9c4a-f552311004cd,COMP-201,Forcados Field,Team Bravo,Compressor,2026-07-08 12:09:55,Pressure Drop,High,Open,12.45,Yes,1.6,Christopher Johnson,BREACHED
7a0e70a7-d4c4-40a4-a958-90255d257da9,PUMP-101,Bonny Field,Team Alpha,Pumping Unit,2026-07-08 12:05:13,Power Outage,Medium,In Progress,33.66,Yes,27.18,Karl Gilbert,BREACHED
4e3aafe1-5b51-449e-8705-5f507b533a23,PUMP-101,Bonny Field,Team Alpha,Pumping Unit,2026-07-08 12:05:42,Pressure Drop,Low,Resolved,26.66,No,10.48,Victoria Lopez,COMPLIANT
aa4543c3-c1d4-4457-a643-8d63e0066c40,PIPE-402,Brass Terminal,Team Delta,Pipeline Segment,2026-07-08 12:04:18,Power Outage,Critical,Open,4.65,Yes,1.1,Patrick Miller,BREACHED
50ca4443-e6e9-4f66-a4c3-6d3963de146f,PUMP-101,Bonny Field,Team Alpha,Pumping Unit,2026-07-08 12:06:46,Power Outage,High,Open,16.6,Yes,7.22,Donald Rogers,BREACHED
99acd30b-8725-474c-b4dc-ae35a4e5a5b6,PIPE-401,Brass Terminal,Team Delta,Pipeline Segment,2026-07-08 12:04:45,Leak,Low,Resolved,69.57,Yes,60.03,Christopher Moore,BREACHED
cca3e44b-410f-4d03-9a7e-97177308870d,PIPE-401,Brass Terminal,Team Delta,Pipeline Segment,2026-07-08 12:08:08,Leak,High,Resolved,5.51,No,2.35,Robert Edwards,COMPLIANT
570b11b2-e970-48c0-8e02-f8007f338fbd,COMP-201,Forcados Field,Team Bravo,Compressor,2026-07-08 12:07:01,Power Outage,Medium,In Progress,19.94,No,12.05,Benjamin Sampson,COMPLIANT
32e6e860-89ec-4de2-b9be-463e5a1d7054,VALVE-301,Escravos Field,Team Charlie,Pressure Valve,2026-07-08 12:04:15,Equipment Failure,Medium,Open,13.64,No,9.04,Cynthia Williams,COMPLIANT
463266db-3b36-4008-9088-b43f7e83b428,PUMP-102,Bonny Field,Team Alpha,Pumping Unit,2026-07-08 12:08:20,Valve Malfunction,Low,Resolved,44.45,No,36.27,Rebecca Vasquez,COMPLIANT
0dd857fd-fda7-44d1-880a-921c2f1f1221,VALVE-302,Escravos Field,Team Charlie,Pressure Valve,2026-07-08 12:09:49,Corrosion,Medium,Resolved,27.32,Yes,4.31,Kevin Stevens,BREACHED
40daa414-fea5-43a8-9e08-f99166a4fc06,VALVE-302,Escravos Field,Team Charlie,Pressure Valve,2026-07-08 12:08:29,Valve Malfunction,Medium,Resolved,28.46,Yes,0.73,Tamara Zavala,BREACHED
c759fb20-7688-401f-9026-9a149383650e,VALVE-302,Escravos Field,Team Charlie,Pressure Valve,2026-07-08 12:06:23,Equipment Failure,High,Open,23.33,Yes,22.98,Brandon Simmons,BREACHED
0cd4a4e2-dfcb-4ebb-a48d-e62d11cbb323,VALVE-302,Escravos Field,Team Charlie,Pressure Valve,2026-07-08 12:07:34,Equipment Failure,Critical,In Progress,10.57,Yes,1.0,John Howell,BREACHED
e198f8a7-3b09-437f-9625-6b13d8f8496b,VALVE-301,Escravos Field,Team Charlie,Pressure Valve,2026-07-08 12:08:06,Valve Malfunction,Medium,Open,42.09,Yes,13.05,Renee Williams,BREACHED
7f6f14b6-f2c4-4779-87b2-708b175c344e,TANK-502,Qua Iboe Field,Team Bravo,Storage Tank,2026-07-08 12:09:08,Pressure Drop,Critical,Open,5.36,Yes,4.26,Jessica Payne,BREACHED
6e0c7dcf-6cb9-4703-a69c-0a237bbc208c,TANK-502,Qua Iboe Field,Team Bravo,Storage Tank,2026-07-08 12:09:05,Equipment Failure,Low,Open,47.21,No,39.91,Lawrence Scott,COMPLIANT
b2d85c34-3583-4ecc-84ad-11d0f170ca67,VALVE-302,Escravos Field,Team Charlie,Pressure Valve,2026-07-08 12:04:28,Valve Malfunction,Medium,Open,43.68,Yes,13.82,Shannon Williams,BREACHED
40889f8d-f991-4817-811e-ac68350efc9a,PUMP-101,Bonny Field,Team Alpha,Pumping Unit,2026-07-08 12:04:14,Corrosion,High,Open,23.73,Yes,4.11,Christopher Patterson,BREACHED
45bc050c-8725-4c32-8f57-c4494cd20d23,VALVE-301,Escravos Field,Team Charlie,Pressure Valve,2026-07-08 12:05:43,Power Outage,Low,Resolved,47.99,No,22.87,Penny Bond,COMPLIANT
3b2a6f59-f6b8-43a5-bf33-cba5388bda89,PUMP-101,Bonny Field,Team Alpha,Pumping Unit,2026-07-08 12:07:20,Valve Malfunction,Low,In Progress,32.52,No,20.83,Bobby Washington,COMPLIANT
8654595d-af98-4a05-bc57-8af85eaf7b01,PIPE-402,Brass Terminal,Team Delta,Pipeline Segment,2026-07-08 12:04:19,Pressure Drop,Critical,Open,5.77,Yes,5.04,Cynthia Castillo,BREACHED
0584efc2-916b-4870-b903-779766558dd1,TANK-502,Qua Iboe Field,Team Bravo,Storage Tank,2026-07-08 12:05:28,Leak,High,In Progress,13.11,Yes,9.8,Travis Hess,BREACHED
c4c63432-8e08-4a3d-9087-2121ffbe2f19,PUMP-101,Bonny Field,Team Alpha,Pumping Unit,2026-07-08 12:07:26,Leak,Medium,In Progress,17.61,No,13.6,Kimberly Simmons,COMPLIANT
7cac3152-e799-4747-b8b7-bb4a14325424,PUMP-102,Bonny Field,Team Alpha,Pumping Unit,2026-07-08 12:10:06,Valve Malfunction,Critical,In Progress,1.0,No,0.56,Laurie Martin,COMPLIANT
