production_id,equipment_id,field,team,category,production_date,oil_volume_bbl,gas_volume_mcf,water_volume_bbl,choke_size,wellhead_pressure,deferred_production_bbls,operator
83bd1488-c27a-410a-91ac-370d6ede8620,VALVE-301,Escravos Field,Team Charlie,Pressure Valve,2026-07-09 10:20:54,2465.78,1404.44,388.59,35.16,748.86,156.34,Cassandra Fisher
c87ff585-3c2d-4f6c-bb0e-ec7b34bc8646,VALVE-301,Escravos Field,Team Charlie,Pressure Valve,2026-07-09 10:15:53,980.93,1726.53,162.42,58.14,3885.0,5.99,Nicole Gonzalez
87af1985-43f4-42c5-8820-27a403b389a1,PUMP-101,Bonny Field,Team Alpha,Pumping Unit,2026-07-09 10:19:45,395.27,1189.6,284.04,62.54,1200.14,34.9,Janet Richardson
3546c6b5-32ec-4a93-a70d-58b273f457a9,PIPE-402,Brass Terminal,Team Delta,Pipeline Segment,,-99.0,-99.0,-99.0,,,,John Burton
8e9e1c6d-c6d9-42db-8c71-debbde2c256b,TANK-501,Qua Iboe Field,Team Alpha,Storage Tank,2026-07-09 10:19:09,4737.13,1973.64,122.77,56.57,878.38,141.98,Jacqueline Spencer
c31411ec-1a4b-429b-83cd-a003c7e68486,VALVE-302,Escravos Field,Team Charlie,Pressure Valve,2026-07-09 10:19:30,427.03,744.09,490.62,47.69,3156.66,467.22,Christopher Smith
5d8eea9e-ec2d-465e-9b73-67fc28fa1787,PUMP-102,Bonny Field,Team Alpha,Pumping Unit,2026-07-09 10:21:09,4759.63,948.95,493.59,44.56,3633.42,445.72,Jessica Rogers
fa64af23-4547-42c3-ad71-1472de815950,VALVE-301,Escravos Field,Team Charlie,Pressure Valve,2026-07-09 10:21:17,2755.5,568.4,99.87,32.71,727.9,296.11,Tyler Vasquez
78525167-548d-413c-bc99-64300eff9df7,VALVE-301,Escravos Field,Team Charlie,Pressure Valve,,-99.0,-99.0,-99.0,,,,Lisa Randolph
039dd9b7-be40-44cf-96ae-ce6e1ebe523b,COMP-202,Forcados Field,Team Bravo,Compressor,2026-07-09 10:16:03,2090.73,475.11,70.27,62.74,4454.54,365.26,Mary Hopkins
6a134786-7a11-41e2-b889-6eabb78c2a66,PIPE-402,Brass Terminal,Team Delta,Pipeline Segment,2026-07-09 10:21:20,4952.49,1378.52,490.74,22.12,2712.79,375.72,Robert Dyer
46672dcd-5755-446d-be99-3b09da9b4d1d,TANK-502,Qua Iboe Field,Team Bravo,Storage Tank,2026-07-09 10:20:21,2410.81,1841.63,493.51,24.45,3188.71,325.23,Glenn Nguyen
e20eec6d-3e56-4e3f-895a-7b991dcdb3a4,VALVE-302,Escravos Field,Team Charlie,Pressure Valve,,-99.0,-99.0,-99.0,,,,Amber Johnson
1836d466-3963-4e28-877e-4e4cde9199cb,VALVE-302,Escravos Field,Team Charlie,Pressure Valve,2026-07-09 10:17:32,3258.72,961.76,436.39,33.3,4790.0,88.98,Anthony Murphy
cbf26614-b7bf-42b3-bfc6-99b79fbf7747,PIPE-402,Brass Terminal,Team Delta,Pipeline Segment,,-99.0,-99.0,-99.0,,,,Emily Dougherty
504fe337-eddd-430d-870b-a5e418582509,PIPE-402,Brass Terminal,Team Delta,Pipeline Segment,2026-07-09 10:18:48,903.64,1989.3,434.38,37.46,1411.47,12.7,Melanie Herrera
ff695fd7-fc5f-4b87-9e40-06b9df1d75c4,COMP-201,Forcados Field,Team Bravo,Compressor,2026-07-09 10:18:54,1344.35,1172.23,386.03,34.15,1198.01,381.35,Karen Brown
dae258fe-b0f4-4d5c-ba35-eb661b943506,COMP-201,Forcados Field,Team Bravo,Compressor,2026-07-09 10:18:54,312.82,391.07,418.8,30.53,2763.02,200.64,Eric Jimenez
fe0ce760-8a18-443e-a6e5-c5710e6e793d,PIPE-402,Brass Terminal,Team Delta,Pipeline Segment,,-99.0,-99.0,-99.0,,,,Gary Martinez
dbb5f414-011b-4665-85f1-7c90fd3397ff,PIPE-402,Brass Terminal,Team Delta,Pipeline Segment,2026-07-09 10:15:37,1088.31,277.98,115.52,31.84,3220.06,288.44,Mr. William Alexander
ea469072-1488-49fc-b652-537a18960dce,TANK-501,Qua Iboe Field,Team Alpha,Storage Tank,2026-07-09 10:16:08,2880.46,1055.33,364.08,61.68,435.48,208.99,Jeremy Wells
8eb79e15-4b59-43db-8c2a-37c32675595d,COMP-202,Forcados Field,Team Bravo,Compressor,2026-07-09 10:18:00,4462.75,915.64,265.05,40.56,1207.48,248.21,Benjamin Thomas
d13abc5e-e220-43eb-8a2e-62ea7ad593aa,VALVE-302,Escravos Field,Team Charlie,Pressure Valve,2026-07-09 10:17:10,1927.84,366.16,90.36,19.41,4741.12,177.7,Lee Carney
453d8678-3cb0-4985-b80c-325e0b9fbb0d,PUMP-101,Bonny Field,Team Alpha,Pumping Unit,2026-07-09 10:21:19,4072.02,680.45,498.24,23.86,2031.58,275.4,Valerie Schultz
0adb5e53-9a6f-4dd3-a300-c35c03199f7c,TANK-502,Qua Iboe Field,Team Bravo,Storage Tank,,-99.0,-99.0,-99.0,,,,Charlene Carter
37d0bfa1-643d-4be7-82da-e2250c914f22,PIPE-401,Brass Terminal,Team Delta,Pipeline Segment,,-99.0,-99.0,-99.0,,,,Melody Quinn
b6dbfe6c-c35f-4aa0-88ed-73bbabb91688,TANK-501,Qua Iboe Field,Team Alpha,Storage Tank,2026-07-09 10:16:47,3331.56,1706.1,328.99,22.11,2893.58,113.69,Brittany Cain
257d4c40-9707-42f7-8bcb-80204abde699,COMP-202,Forcados Field,Team Bravo,Compressor,2026-07-09 10:17:06,1361.39,1864.47,38.13,54.13,3375.48,25.66,John Mosley
f365ec6d-9f20-46b3-96f9-876072791e2a,VALVE-301,Escravos Field,Team Charlie,Pressure Valve,,-99.0,-99.0,-99.0,,,,April Johnson
151616b0-af8f-469a-8955-1ccd267d7e92,PUMP-102,Bonny Field,Team Alpha,Pumping Unit,2026-07-09 10:16:27,4642.16,1806.27,168.78,52.35,4186.1,298.15,Daniel Hanson
1198b000-7da1-4948-a72a-f5d396e895c4,COMP-201,Forcados Field,Team Bravo,Compressor,,-99.0,-99.0,-99.0,,,,Kaylee Norris
5bc46f02-884e-463d-882a-b818addf088b,VALVE-301,Escravos Field,Team Charlie,Pressure Valve,2026-07-09 10:16:24,4783.95,367.59,266.8,34.4,2095.16,411.55,Kimberly Allen
